line	section	status	keys	quote
292	ثانياً: تغريدات/رسائل منهجية جديدة (الأهم)	covered	5	قبل ينفجر RSI بين 23‑27 · مستحيل يصعد إذا RSI بمناطق 40
294	ثانياً: تغريدات/رسائل منهجية جديدة (الأهم)	covered	4	الدخول بعد القاع السنوي + **ثبات 3‑5 جلسات = دخول** · شمعة الهبوط = هدف · النموذج يتكرر
295	ثانياً: تغريدات/رسائل منهجية جديدة (الأهم)	covered	2	لا تدخل الدعم الأول · الثاني بعد ثباته · وقفك تحته
297	ثانياً: تغريدات/رسائل منهجية جديدة (الأهم)	covered	9	متوسط حركة 30 · هبوط من الافتتاح ÷2 (مثال 2.80÷2=1.40) · ثبات 5 جلسات · شرط عدم ارتفاع بعد التقسيم · عدم شورت عالي · **تابعه لين الشورت تحت 
299	ثانياً: تغريدات/رسائل منهجية جديدة (الأهم)	partial	2	حركة طفيفة بالأفتر + سحب سيولة → الصعود الكبير بالماركت
300	ثانياً: تغريدات/رسائل منهجية جديدة (الأهم)	covered	2	ذيل طويل = مسح سيولة (دخول) · ذيل قصير = يستمر الهبوط
307	ثالثًا: دفعة إضافية (8051‑8188) — أسهم وتغريدات أخرى	partial	8	طرح ب10 · هبوط 4.70 صعود 26 · مستهدف هبوط 2.35 · ياباني فلوت 26.68م شورت 7آلاف
309	ثالثًا: دفعة إضافية (8051‑8188) — أسهم وتغريدات أخرى	partial	6	مشروبات غازية، قسم 11/12، فلوت 7.84م شورت 4آلاف
312	ثالثًا: دفعة إضافية (8051‑8188) — أسهم وتغريدات أخرى	covered	2	شمعة هبوط المضارب بعد رفعه + هبوط RSI من المضارب
312	ثالثًا: دفعة إضافية (8051‑8188) — أسهم وتغريدات أخرى	covered	4	تهييض 4 مرات · شورت 20ألف فلوت 778ألف
313	ثالثًا: دفعة إضافية (8051‑8188) — أسهم وتغريدات أخرى	partial	5	عدم ثبات فوق 3.15 يرجع يختبر · الدعم الأفضل 2.34 · فلوت 5.29م شورت صفر
316	ثالثًا: دفعة إضافية (8051‑8188) — أسهم وتغريدات أخرى	partial	10	3 جلسات · بالماركت يطلع العصر 7‑8 يحقق هدف ويهبط · 8:30‑9 جلسة لندن · تجاوز جلسة نيويورك غالبًا يدبل (80%) · اطلع بالجلسة الأولى عند التوزيع
317	ثالثًا: دفعة إضافية (8051‑8188) — أسهم وتغريدات أخرى	partial	8	إسرائيلي، قسم 25/2 افتتاح 2.57 أعلى 6.30، فلوت 934ألف شورت 50ألف
318	ثالثًا: دفعة إضافية (8051‑8188) — أسهم وتغريدات أخرى	covered	3	متابعة ثبات أو فشل · 2.86/2.95
320	رابعًا: دفعة «قراءة المضارب» (IMG_9424-9432 · 2026-07-08)	covered	2	قراءة المضارب
322	رابعًا: دفعة «قراءة المضارب» (IMG_9424-9432 · 2026-07-08)	covered	1	كيف نعرف أن المضارب دخل؟
322	رابعًا: دفعة «قراءة المضارب» (IMG_9424-9432 · 2026-07-08)	partial	3	اذا شفت شمعته تجاوز 6 بثواني
323	رابعًا: دفعة «قراءة المضارب» (IMG_9424-9432 · 2026-07-08)	partial	4	**6 سعر** — اذا دخل المضارب **بثواني معدوده يتجاوز السعر 6 هي مقاومه سعريه**
325	رابعًا: دفعة «قراءة المضارب» (IMG_9424-9432 · 2026-07-08)	covered	1	كيف أفرق مضارب ولا قروب؟
329	رابعًا: دفعة «قراءة المضارب» (IMG_9424-9432 · 2026-07-08)	covered	2	تفريغ العروض
341	رابعًا: دفعة «قراءة المضارب» (IMG_9424-9432 · 2026-07-08)	covered	2	حافظ عليها الحين **انتظر المضارب اذا شاله فقط**
350	رابعًا: دفعة «قراءة المضارب» (IMG_9424-9432 · 2026-07-08)	partial	3	تجاوز 6 بثواني
364	خامسًا: 📩 الرسالة الذهبية — فيصل يصادق على مرشّحات البوت 	covered	1	تنفع كارتكاز؟
365	خامسًا: 📩 الرسالة الذهبية — فيصل يصادق على مرشّحات البوت 	covered	2	تأكد من الشورت والاخبار
368	خامسًا: 📩 الرسالة الذهبية — فيصل يصادق على مرشّحات البوت 	partial	5	سهم Geos دعم ٦.٤٧ > ٦.٢٨ مقاومه ٧ — **اهداف رووس الشموع الحمرا**
369	خامسًا: 📩 الرسالة الذهبية — فيصل يصادق على مرشّحات البوت 	partial	4	سهم femy مهم ما يكسر 3.50 كون قاع وصعد ورجع يختبر — مقاومه ٤.٧٩
370	خامسًا: 📩 الرسالة الذهبية — فيصل يصادق على مرشّحات البوت 	covered	1	تنفع كارتكاز؟
370	خامسًا: 📩 الرسالة الذهبية — فيصل يصادق على مرشّحات البوت 	covered	2	**ايوه بس تأكد من الشورت والاخبار**
374	خامسًا: 📩 الرسالة الذهبية — فيصل يصادق على مرشّحات البوت 	covered	1	ما يكسر 9.75
377	خامسًا: 📩 الرسالة الذهبية — فيصل يصادق على مرشّحات البوت 	covered	1	مهم ما يكسر 3.50
378	خامسًا: 📩 الرسالة الذهبية — فيصل يصادق على مرشّحات البوت 	covered	1	كون قاع وصعد **ورجع يختبر**
382	خامسًا: 📩 الرسالة الذهبية — فيصل يصادق على مرشّحات البوت 	covered	2	تأكد من الشورت والاخبار
383	خامسًا: 📩 الرسالة الذهبية — فيصل يصادق على مرشّحات البوت 	covered	2	اهداف رووس الشموع الحمرا
384	خامسًا: 📩 الرسالة الذهبية — فيصل يصادق على مرشّحات البوت 	covered	2	تأكد من الشورت والاخبار
399	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	covered	2	تفريغ العروض والجدار
405	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	partial	6	العرض الاعلى من المضارب 2.61 · من 2 الى 2.61 = **30%**
406	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	covered	1	ملل الانتظار
407	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	partial	2	**يفرغ العروض كامله**
409	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	no_match	2	عند جميع المضاربين والهوامير ع مستوى العالم
416	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	no_match	2	سونقات وقروبات
427	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	covered	2	يفرّغ العروض · يرفع بأقل سيولة
427	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	no_match	0	عروض شبه مُفرَّغة
429	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	partial	2	ينتظرون اعلان
431	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	covered	2	الافتر او البري · الفجوات عاليه
432	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	covered	3	الف دولار يرتفع 30%
433	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	no_match	0	قروب يُصرَّف
434	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	partial	2	يدخل القطيع → تصريف → يهبط
435	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	partial	2	شيل كميات ع المقاومه لاختراقها
437	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	partial	2	مجهزين اوامر البيع عند المقاومة
446	سادسًا: 🕳️ درس «تفريغ العروض والجدار» كاملًا — دفتر الأوا	covered	1	**بيع الوهم**
453	سابعًا: 🔒 درس «نسبة الشورت والاقتراض» من ChartExchange (I	covered	2	نسبة الشورت والاقتراض
455	سابعًا: 🔒 درس «نسبة الشورت والاقتراض» من ChartExchange (I	covered	2	هذا رابط مهم يطلع لك **نسبة الشورت والاقتراض**
464	سابعًا: 🔒 درس «نسبة الشورت والاقتراض» من ChartExchange (I	partial	3	هل تعتقد سهم **شورته 600 الف** يصعد؟ 😄 **طاخ طيخ الى الهاويه**
484	سابعًا: 🔒 درس «نسبة الشورت والاقتراض» من ChartExchange (I	covered	1	وقود سكويز 🔥
487	سابعًا: 🔒 درس «نسبة الشورت والاقتراض» من ChartExchange (I	covered	3	كان 30K قبل 3 يوم (يتضخّم = تكدّس ذخيرة)
491	سابعًا: 🔒 درس «نسبة الشورت والاقتراض» من ChartExchange (I	covered	2	متأكد من معلومة الوقود؟
491	سابعًا: 🔒 درس «نسبة الشورت والاقتراض» من ChartExchange (I	covered	2	الإجبار على التغطية
494	سابعًا: 🔒 درس «نسبة الشورت والاقتراض» من ChartExchange (I	covered	2	معلوماتك صحيحة وهذا تاكيد من فيصل
512	ثامنًا: 🎬 حزمة «فيديو فيصل 1» — تحليل DSY كامل (10 دقائق،	covered	2	فيديو فيصل 1
515	ثامنًا: 🎬 حزمة «فيديو فيصل 1» — تحليل DSY كامل (10 دقائق،	covered	3	الاقتراض 725% = اجابي
520	ثامنًا: 🎬 حزمة «فيديو فيصل 1» — تحليل DSY كامل (10 دقائق،	covered	2	صعد من 1.80 ل 19
526	ثامنًا: 🎬 حزمة «فيديو فيصل 1» — تحليل DSY كامل (10 دقائق،	covered	1	تحسّن مبكر تحت الصفر
555	تاسعًا: 🎯 آلية تحديد الأهداف (الاستخلاص من DXST/TRUG/SPRC	covered	4	الهدف 7 الأقرب من 5
556	تاسعًا: 🎯 آلية تحديد الأهداف (الاستخلاص من DXST/TRUG/SPRC	partial	3	تصحيح عند 3.88 صعودًا إلى 7
558	تاسعًا: 🎯 آلية تحديد الأهداف (الاستخلاص من DXST/TRUG/SPRC	no_match	3	5.03 · 5.11 · 5.24
561	تاسعًا: 🎯 آلية تحديد الأهداف (الاستخلاص من DXST/TRUG/SPRC	covered	1	تحرر من 1.60
571	تاسعًا: 🎯 آلية تحديد الأهداف (الاستخلاص من DXST/TRUG/SPRC	covered	2	الأهداف السنتات
576	تاسعًا: 🎯 آلية تحديد الأهداف (الاستخلاص من DXST/TRUG/SPRC	covered	2	أقرب 3 ضمن MIN_TARGET_GAP_PCT=3%
598	حادي عشر: 🏆 قائمة معايير فيصل الصريحة للارتكاز المقسّم (I	covered	1	المقسّم حديثًا micro-float
612	حادي عشر: 🏆 قائمة معايير فيصل الصريحة للارتكاز المقسّم (I	covered	2	التغطية الخضرا
615	حادي عشر: 🏆 قائمة معايير فيصل الصريحة للارتكاز المقسّم (I	covered	2	غطّى كل أهدافه بشمعة مضارب
618	حادي عشر: 🏆 قائمة معايير فيصل الصريحة للارتكاز المقسّم (I	covered	2	الأمان دخول من 2
632	حادي عشر: 🏆 قائمة معايير فيصل الصريحة للارتكاز المقسّم (I	covered	1	كل أسهم فيصل تحته HCAI 163ألف
638	ثاني عشر: 🎯 سلوكيات الصعود + تحقّق المؤشرات (IMG_0097/009	no_match	1	مهمة جدًّا معلوماتيًّا
647	ثاني عشر: 🎯 سلوكيات الصعود + تحقّق المؤشرات (IMG_0097/009	covered	5	متوسط حركة 50 يعطي دلالة لصعود السهم أقلها نسبة من 30<50٪
648	ثاني عشر: 🎯 سلوكيات الصعود + تحقّق المؤشرات (IMG_0097/009	covered	2	متوسط الحركة
649	ثاني عشر: 🎯 سلوكيات الصعود + تحقّق المؤشرات (IMG_0097/009	no_match	1	هل يلزم تحقيقها؟ طبعًا لا — هذا نهج علمي فقط
659	ثاني عشر: 🎯 سلوكيات الصعود + تحقّق المؤشرات (IMG_0097/009	covered	1	🔵 هدف نظيف بلا مقاومة
662	ثاني عشر: 🎯 سلوكيات الصعود + تحقّق المؤشرات (IMG_0097/009	covered	1	فايدة مؤشر FSTO؟
677	ثاني عشر: 🎯 سلوكيات الصعود + تحقّق المؤشرات (IMG_0097/009	covered	3	30-50%+ كحد أدنى عند الانطلاق
678	ثاني عشر: 🎯 سلوكيات الصعود + تحقّق المؤشرات (IMG_0097/009	covered	2	شمعة هابطة — انتظر الفريم اليومي يختبرها
679	ثاني عشر: 🎯 سلوكيات الصعود + تحقّق المؤشرات (IMG_0097/009	covered	1	ندمج الثنتين
682	ثاني عشر: 🎯 سلوكيات الصعود + تحقّق المؤشرات (IMG_0097/009	covered	2	مو الأكواد بس — جميع أوامر المضارب
692	ثالث عشر: 🎯 قاعدة ÷2 لأسهم التقسيم + رادار المقسّم (IMG_0	covered	1	أسهم التقسيم
702	ثالث عشر: 🎯 قاعدة ÷2 لأسهم التقسيم + رادار المقسّم (IMG_0	covered	2	🎯 رادار أسهم التقسيم
708	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	covered	1	لم يصعد بعد التقسيم
709	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	covered	1	مقسّم قبل شهرين
709	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	covered	3	حقّق متوسط 50 يوم وعليها حبة خشم
710	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	covered	3	شمعة هابطة 1.20 خارج وقت التداول
711	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	covered	4	الدخول الآمن فنيًّا بين 1.30 و 1.40
711	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	covered	2	عمل سحب سيولة قبل يصعد ~5%
712	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	covered	3	الشورت كان صفر · نسبة الاقتراض 25%
713	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	partial	2	ماعليه قروبات
713	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	no_match	2	دائمًا السهم قبل يدبل يُضغط لأدنى قاع تحضيرًا وسحب سيولة المشترين بالأعلى
714	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	partial	3	تدخل مع مضارب تربح مع مضارب · قروبات يبيعون ع بعض 10 سنت
721	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	covered	3	مثلًا السهم قسم قبل شهر **فتح 5 هبط 2.50**
722	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	partial	3	أخباره حلوة · شورته حلو · ماعليه قروبات · على 4س متماسك عند أدنى قاع
725	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	covered	2	فتح 5 هبط 2.50
728	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	no_match	0	هابط بدون صعود سابق
728	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	no_match	0	قسم ما أعطى صعود
730	رابع عشر: 🥇 مثال $KUST الحيّ + قاعدة RSI للمقسّم (IMG_017	partial	2	ماعليه قروبات
738	خامس عشر: 🥇🪝 $ONCO — **أول تحقّق مستقلّ من فيصل على سهم ا	covered	1	صيّاد أسهم التقسيم
738	خامس عشر: 🥇🪝 $ONCO — **أول تحقّق مستقلّ من فيصل على سهم ا	covered	4	**لا طبعا** تبي تدخل مع مضارب تنتظر 60 سنت ل 70 **هل يثبت اولا**
743	خامس عشر: 🥇🪝 $ONCO — **أول تحقّق مستقلّ من فيصل على سهم ا	covered	5	1.44 أعلى شمعة بعد التقسيم · تقسم ع 2 = 72 · وصل 71 سنت
743	خامس عشر: 🥇🪝 $ONCO — **أول تحقّق مستقلّ من فيصل على سهم ا	covered	5	القاع = قمة ما بعد التقسيم ÷2 = $0.72 (القمة 1.44)
743	خامس عشر: 🥇🪝 $ONCO — **أول تحقّق مستقلّ من فيصل على سهم ا	covered	1	إغلاق أول شمعة
744	خامس عشر: 🥇🪝 $ONCO — **أول تحقّق مستقلّ من فيصل على سهم ا	covered	1	شورت 150 الف
744	خامس عشر: 🥇🪝 $ONCO — **أول تحقّق مستقلّ من فيصل على سهم ا	covered	2	متاح للاقتراض: 150K
753	خامس عشر: 🥇🪝 $ONCO — **أول تحقّق مستقلّ من فيصل على سهم ا	covered	2	رأس الشمعة الساقطة
762	خامس عشر: 🥇🪝 $ONCO — **أول تحقّق مستقلّ من فيصل على سهم ا	covered	4	الدخول بالملي 1.70←1.80
763	خامس عشر: 🥇🪝 $ONCO — **أول تحقّق مستقلّ من فيصل على سهم ا	covered	3	عدد الاسهم 3.69 مليون
773	سادس عشر: 🥇 دفعة JZ · CCHH · DRCT · ZCMD (IMG_0289/0292/0	covered	3	0.71−5٪=0.675
777	سادس عشر: 🥇 دفعة JZ · CCHH · DRCT · ZCMD (IMG_0289/0292/0	covered	2	الخطوط تعتبر اهداف مضارب
782	سادس عشر: 🥇 دفعة JZ · CCHH · DRCT · ZCMD (IMG_0289/0292/0	covered	1	**ثبات فوق 5 مهم جدا**
783	سادس عشر: 🥇 دفعة JZ · CCHH · DRCT · ZCMD (IMG_0289/0292/0	covered	2	12 شمعة ساقطة
786	سادس عشر: 🥇 دفعة JZ · CCHH · DRCT · ZCMD (IMG_0289/0292/0	no_match	0	مصدرُ السلّم
789	سادس عشر: 🥇 دفعة JZ · CCHH · DRCT · ZCMD (IMG_0289/0292/0	covered	1	رأس الحمرا = هدف
793	سادس عشر: 🥇 دفعة JZ · CCHH · DRCT · ZCMD (IMG_0289/0292/0	covered	1	ثبات فوق 5 مهم جدا
801	سادس عشر: 🥇 دفعة JZ · CCHH · DRCT · ZCMD (IMG_0289/0292/0	covered	2	متابعة الضغط للشمعه الساقطه · **ثبات اجابيه عدم ثبات سلبيه**
803	سادس عشر: 🥇 دفعة JZ · CCHH · DRCT · ZCMD (IMG_0289/0292/0	covered	3	**شمعه تلاعب واضحه وضغط من المضارب 1.99**
831	سابع عشر: 🥇 إكمال دفعة الذهب — AZI · DSY · EHGO · JZ‑1س ·	covered	2	**تحرر من 1.36 شيله من العرض بأي سعر**
831	سابع عشر: 🥇 إكمال دفعة الذهب — AZI · DSY · EHGO · JZ‑1س ·	covered	1	**170٪ 🇨🇳 ✅**
833	سابع عشر: 🥇 إكمال دفعة الذهب — AZI · DSY · EHGO · JZ‑1س ·	covered	1	شيله من العرض بأي سعر
839	سابع عشر: 🥇 إكمال دفعة الذهب — AZI · DSY · EHGO · JZ‑1س ·	covered	5	**اخذته الآن من العرض الليلي 1.85 · دفعه اخرى 1.70 غدا · هدفك عالي شرط 3.20 تحرر**
840	سابع عشر: 🥇 إكمال دفعة الذهب — AZI · DSY · EHGO · JZ‑1س ·	covered	1	شرط 3.20 تحرر
840	سابع عشر: 🥇 إكمال دفعة الذهب — AZI · DSY · EHGO · JZ‑1س ·	no_match	0	معلّق حتى $X
844	سابع عشر: 🥇 إكمال دفعة الذهب — AZI · DSY · EHGO · JZ‑1س ·	partial	2	**ماجا يومه · حمل واصبر هدفك فوق 100٪**
844	سابع عشر: 🥇 إكمال دفعة الذهب — AZI · DSY · EHGO · JZ‑1س ·	covered	2	**1.20 > 1.10 طلبه**
847	سابع عشر: 🥇 إكمال دفعة الذهب — AZI · DSY · EHGO · JZ‑1س ·	covered	1	رُفِع أكثر من مرة **بدون مضارب**
864	سابع عشر: 🥇 إكمال دفعة الذهب — AZI · DSY · EHGO · JZ‑1س ·	covered	2	رُفِع أكثر من مرة بدون مضارب ⇒ متابعة فقط
869	سابع عشر: 🥇 إكمال دفعة الذهب — AZI · DSY · EHGO · JZ‑1س ·	covered	3	القاع اختُبر N مرات عند $X — فيصل: القاع 2 = ثبات أو سحب سيولة
874	ثامن عشر: ⭐ «اتفاق الفريمات» وصيد الارتداد + تعريف الإيجا	covered	2	اتفاق الفريمات
876	ثامن عشر: ⭐ «اتفاق الفريمات» وصيد الارتداد + تعريف الإيجا	covered	2	اتفاق الفريمات
885	ثامن عشر: ⭐ «اتفاق الفريمات» وصيد الارتداد + تعريف الإيجا	covered	3	فريم 5 دقايق **شرط السهم محقق ارتفاع + سيوله عاليه**
885	ثامن عشر: ⭐ «اتفاق الفريمات» وصيد الارتداد + تعريف الإيجا	covered	1	**ارتداد أول عدم دخول**
886	ثامن عشر: ⭐ «اتفاق الفريمات» وصيد الارتداد + تعريف الإيجا	covered	4	**ارتداد 2 تأكيد دخول عدم كسر 10.21**
886	ثامن عشر: ⭐ «اتفاق الفريمات» وصيد الارتداد + تعريف الإيجا	partial	2	**رأس شمعة الهبوط جني الربح عند ارتداده لها**
887	ثامن عشر: ⭐ «اتفاق الفريمات» وصيد الارتداد + تعريف الإيجا	covered	2	لا تدخل الدعم الأول
893	ثامن عشر: ⭐ «اتفاق الفريمات» وصيد الارتداد + تعريف الإيجا	covered	2	الارتداد الأول
895	ثامن عشر: ⭐ «اتفاق الفريمات» وصيد الارتداد + تعريف الإيجا	partial	2	تأكيد الإيجابية/السلبية
896	ثامن عشر: ⭐ «اتفاق الفريمات» وصيد الارتداد + تعريف الإيجا	covered	3	تأكيد الإيجابية بعد كسر السعر x.xx — هل هو كسر المقاومة **اليومية أو الأسبوعية أو 4س**؟
908	ثامن عشر: ⭐ «اتفاق الفريمات» وصيد الارتداد + تعريف الإيجا	covered	2	القروب يرفع ⇒ المضارب يهبط
909	ثامن عشر: ⭐ «اتفاق الفريمات» وصيد الارتداد + تعريف الإيجا	covered	1	غفلة القروبات
909	ثامن عشر: ⭐ «اتفاق الفريمات» وصيد الارتداد + تعريف الإيجا	no_match	0	خالٍ من قروب
910	ثامن عشر: ⭐ «اتفاق الفريمات» وصيد الارتداد + تعريف الإيجا	covered	2	برامج آلية تحترم الدعوم والمقاومات
916	تاسع عشر: ⚖️ تدقيق التعارض — فصل «مضاربة الزخم» عن «منهجي	covered	2	مضاربة الزخم
916	تاسع عشر: ⚖️ تدقيق التعارض — فصل «مضاربة الزخم» عن «منهجي	covered	2	منهجية الارتكاز
917	تاسع عشر: ⚖️ تدقيق التعارض — فصل «مضاربة الزخم» عن «منهجي	covered	2	ممكن أرسلت لك صور ما تخص الارتكاز، تخص استراتيجية مضاربة — تأكّد ما فيه تعارض
934	تاسع عشر: ⚖️ تدقيق التعارض — فصل «مضاربة الزخم» عن «منهجي	covered	2	**شرط السهم محقق ارتفاع + سيوله عاليه**
938	تاسع عشر: ⚖️ تدقيق التعارض — فصل «مضاربة الزخم» عن «منهجي	covered	2	تُكمِّم قاعدة لا تدخل الدعم الأول
944	تاسع عشر: ⚖️ تدقيق التعارض — فصل «مضاربة الزخم» عن «منهجي	covered	3	متوسط 30 يوم من تاريخ التقسيم
945	تاسع عشر: ⚖️ تدقيق التعارض — فصل «مضاربة الزخم» عن «منهجي	covered	7	مقسم في 22-6 … امس 22-7 … **حقق متوسط 30 يوم من تاريخ التقسيم**
947	تاسع عشر: ⚖️ تدقيق التعارض — فصل «مضاربة الزخم» عن «منهجي	covered	1	لم ينضج (N جلسة من 30)
947	تاسع عشر: ⚖️ تدقيق التعارض — فصل «مضاربة الزخم» عن «منهجي	no_match	0	$X — ✅ حقّقه / ⏳ تحته
958	عشرون: 🔴 **$JZ — الحالة المرجعية الكاملة لقاعدة «القروب ي	covered	2	القروب يُلغي الأهداف
971	عشرون: 🔴 **$JZ — الحالة المرجعية الكاملة لقاعدة «القروب ي	covered	2	القروب يرفع ⇒ **المضارب يلغي الأهداف** ويهبط فيه
973	عشرون: 🔴 **$JZ — الحالة المرجعية الكاملة لقاعدة «القروب ي	covered	2	ألغى جميع الأهداف والصعود
975	عشرون: 🔴 **$JZ — الحالة المرجعية الكاملة لقاعدة «القروب ي	covered	2	القروب الغبي
979	عشرون: 🔴 **$JZ — الحالة المرجعية الكاملة لقاعدة «القروب ي	covered	1	**ثبات فوق 5 مهم جدا**
981	عشرون: 🔴 **$JZ — الحالة المرجعية الكاملة لقاعدة «القروب ي	partial	4	يهمنا فنيًا عدم كسر 2.35 / 2.30 — تعتبر دعم مقاومة سابقة
983	عشرون: 🔴 **$JZ — الحالة المرجعية الكاملة لقاعدة «القروب ي	covered	5	الشمعة واضحة المقاومة ع فريم 4 ساعات 2.87 — شمعة ساقطة سابقًا مداها 2.87 > اختبرها اليوم وهبط
988	عشرون: 🔴 **$JZ — الحالة المرجعية الكاملة لقاعدة «القروب ي	covered	2	لماذا لم يرشّح البوت JZ
1010	حادي وعشرون — 🧾 بطاقة فيصل الفرزية (HTCR · BNKK · MWC · S	covered	3	قاع 2.50 · 50% تمت بصعود أول ✅
1013	حادي وعشرون — 🧾 بطاقة فيصل الفرزية (HTCR · BNKK · MWC · S	covered	5	**ارتفعت بسبب** المدير اشتري كمية اسهم 1.7 مليون سهم 8/6
1014	حادي وعشرون — 🧾 بطاقة فيصل الفرزية (HTCR · BNKK · MWC · S	covered	6	اشترى الرئيس 12 الف سهم بسعر 1.37 دولار 17/6
